tradeid,fundid,assetid,tradedate,tradetype,quantity,tradeprice,grossvalue,signed_gross_value
TRD000354,F006,A013,2026-07-07,Buy,21,256.81,5393.01,5393.01
TRD000355,F004,A020,2026-06-02,Buy,381,159.53,60780.93,60780.93
TRD000356,F001,A003,2025-12-29,Buy,142,422.35,59973.7,59973.7
TRD000357,F002,A019,2025-01-06,Buy,162,338.95,54909.9,54909.9
TRD000358,F004,A018,2026-08-10,Buy,189,100.2,18937.8,18937.8
TRD000359,F007,A010,2026-08-20,Buy,63,104.06,6555.78,6555.78
TRD000360,F006,A018,2026-03-12,Sell,60,95.31,5718.6,-5718.6
TRD000361,F002,A017,2025-05-14,Buy,41,173.39,7108.99,7108.99
TRD000362,F008,A016,2026-02-17,Buy,199,200.22,39843.78,39843.78
TRD000363,F007,A011,2026-03-10,Sell,309,159.39,49251.51,-49251.51
TRD000364,F008,A019,2025-05-28,Buy,223,363.97,81165.31,81165.31
TRD000365,F008,A019,2026-06-10,Sell,244,294.86,71945.84,-71945.84
TRD000366,F002,A018,2025-02-03,Sell,118,105.19,12412.42,-12412.42
TRD000367,F006,A001,2025-04-23,Buy,318,310.72,98808.96,98808.96
TRD000368,F005,A001,2026-01-16,Buy,277,251.79,69745.83,69745.83
TRD000369,F006,A016,2025-05-27,Buy,160,189.33,30292.8,30292.8
TRD000370,F007,A009,2025-10-18,Buy,489,108.54,53076.06,53076.06
TRD000371,F008,A016,2025-03-11,Sell,72,192.84,13884.48,-13884.48
TRD000372,F007,A012,2026-04-09,Sell,303,52.9,16028.7,-16028.7
TRD000373,F007,A012,2025-05-16,Sell,437,59.8,26132.6,-26132.6
TRD000374,F008,A017,2025-11-30,Buy,351,174.68,61312.68,61312.68
TRD000375,F007,A012,2025-12-14,Buy,129,62.84,8106.36,8106.36
TRD000376,F008,A019,2025-06-19,Sell,152,346.26,52631.52,-52631.52
TRD000377,F005,A006,2026-07-27,Buy,340,142.53,48460.2,48460.2
TRD000378,F001,A007,2026-05-03,Buy,277,161.11,44627.47,44627.47
TRD000379,F001,A001,2025-07-04,Sell,347,317.79,110273.13,-110273.13
TRD000380,F005,A002,2026-08-17,Buy,135,192.15,25940.25,25940.25
TRD000381,F006,A018,2025-01-24,Buy,311,92.07,28633.77,28633.77
TRD000382,F003,A018,2025-11-21,Buy,22,118.12,2598.64,2598.64
TRD000383,F002,A017,2025-10-20,Buy,60,179.61,10776.6,10776.6
TRD000384,F005,A001,2026-02-22,Buy,88,264.73,23296.24,23296.24
TRD000385,F001,A007,2025-03-01,Buy,176,160.68,28279.68,28279.68
TRD000386,F002,A019,2025-11-28,Buy,82,323.06,26490.92,26490.92
TRD000387,F002,A017,2025-08-31,Buy,113,163.53,18478.89,18478.89
TRD000388,F007,A009,2026-04-21,Buy,147,84.27,12387.69,12387.69
TRD000389,F002,A019,2025-08-28,Sell,24,322.53,7740.72,-7740.72
TRD000390,F001,A003,2025-04-14,Buy,293,463.42,135782.06,135782.06
TRD000391,F003,A015,2025-03-27,Sell,300,128.92,38676.0,-38676.0
TRD000392,F004,A018,2025-06-22,Sell,201,107.91,21689.91,-21689.91
TRD000393,F007,A012,2026-04-21,Sell,31,47.7,1478.7,-1478.7
TRD000394,F005,A014,2026-05-09,Buy,95,217.32,20645.4,20645.4
TRD000395,F005,A014,2025-08-06,Buy,204,293.9,59955.6,59955.6
TRD000396,F005,A001,2026-07-31,Buy,92,301.18,27708.56,27708.56
TRD000397,F002,A019,2025-05-24,Sell,367,294.22,107978.74,-107978.74
TRD000398,F005,A005,2025-11-22,Sell,117,131.23,15353.91,-15353.91
TRD000399,F006,A016,2025-10-07,Buy,395,201.98,79782.1,79782.1
TRD000400,F006,A016,2025-12-03,Buy,117,187.84,21977.28,21977.28
TRD000401,F003,A001,2025-01-10,Buy,321,279.04,89571.84,89571.84
TRD000402,F007,A012,2025-03-25,Sell,400,54.3,21720.0,-21720.0
TRD000403,F002,A018,2026-04-01,Buy,25,119.18,2979.5,2979.5
TRD000404,F006,A018,2026-02-01,Buy,433,109.86,47569.38,47569.38
TRD000405,F001,A001,2025-07-17,Buy,246,270.1,66444.6,66444.6
TRD000406,F004,A018,2026-01-02,Buy,398,99.62,39648.76,39648.76
TRD000407,F005,A014,2026-05-21,Sell,123,235.24,28934.52,-28934.52
TRD000408,F001,A003,2025-08-03,Buy,262,456.22,119529.64,119529.64
TRD000409,F007,A009,2026-05-28,Buy,455,90.58,41213.9,41213.9
TRD000410,F004,A018,2025-03-08,Buy,43,109.44,4705.92,4705.92
TRD000411,F004,A020,2025-01-24,Sell,108,180.34,19476.72,-19476.72
TRD000412,F005,A014,2025-01-03,Sell,296,285.0,84360.0,-84360.0
TRD000413,F001,A003,2026-02-21,Buy,231,448.88,103691.28,103691.28
TRD000414,F008,A017,2025-02-14,Sell,195,178.31,34770.45,-34770.45
TRD000415,F004,A018,2026-06-30,Buy,152,120.0,18240.0,18240.0
TRD000416,F001,A004,2026-08-09,Sell,109,169.51,18476.59,-18476.59
TRD000417,F004,A020,2025-09-13,Buy,500,142.46,71230.0,71230.0
TRD000418,F006,A016,2025-04-10,Buy,42,197.32,8287.44,8287.44
TRD000419,F007,A009,2025-12-09,Sell,313,105.71,33087.23,-33087.23
TRD000420,F004,A018,2025-12-15,Sell,252,98.25,24759.0,-24759.0
TRD000421,F006,A020,2025-03-16,Sell,416,150.41,62570.56,-62570.56
TRD000422,F008,A016,2025-05-08,Buy,330,187.08,61736.4,61736.4
TRD000423,F001,A001,2025-03-08,Sell,203,265.28,53851.84,-53851.84
TRD000424,F001,A004,2026-03-19,Buy,38,167.73,6373.74,6373.74
TRD000425,F001,A007,2026-01-26,Buy,36,166.73,6002.28,6002.28
TRD000426,F007,A010,2025-01-11,Buy,452,113.01,51080.52,51080.52
TRD000427,F008,A017,2025-04-14,Buy,460,183.79,84543.4,84543.4
TRD000428,F001,A004,2025-07-17,Buy,274,169.16,46349.84,46349.84
TRD000429,F001,A007,2025-07-18,Sell,375,154.61,57978.75,-57978.75
TRD000430,F003,A015,2026-04-01,Buy,191,129.49,24732.59,24732.59
TRD000431,F003,A001,2026-03-23,Buy,40,249.63,9985.2,9985.2
TRD000432,F006,A016,2025-05-30,Buy,308,212.1,65326.8,65326.8
TRD000433,F005,A006,2025-01-09,Buy,185,150.59,27859.15,27859.15
TRD000434,F003,A001,2026-07-27,Sell,131,281.62,36892.22,-36892.22
TRD000435,F007,A011,2025-07-26,Sell,110,182.24,20046.4,-20046.4
TRD000436,F006,A013,2026-04-24,Buy,351,297.0,104247.0,104247.0
TRD000437,F006,A020,2025-11-03,Buy,299,186.0,55614.0,55614.0
TRD000438,F003,A005,2025-02-13,Buy,242,141.35,34206.7,34206.7
TRD000439,F001,A008,2026-04-23,Buy,124,239.58,29707.92,29707.92
TRD000440,F004,A020,2025-12-06,Sell,386,176.46,68113.56,-68113.56
TRD000441,F007,A010,2025-01-07,Buy,214,99.34,21258.76,21258.76
TRD000442,F002,A019,2025-05-26,Buy,25,337.18,8429.5,8429.5
TRD000443,F004,A020,2025-07-23,Buy,32,186.6,5971.2,5971.2
TRD000444,F003,A013,2025-06-28,Buy,463,277.82,128630.66,128630.66
TRD000445,F004,A018,2025-09-26,Sell,110,91.31,10044.1,-10044.1
TRD000446,F001,A008,2025-04-24,Buy,80,218.22,17457.6,17457.6
TRD000447,F004,A020,2026-01-17,Buy,243,150.58,36590.94,36590.94
TRD000448,F007,A009,2025-05-14,Sell,70,86.71,6069.7,-6069.7
TRD000449,F004,A020,2026-03-16,Sell,365,157.15,57359.75,-57359.75
TRD000450,F004,A018,2025-07-13,Sell,400,110.33,44132.0,-44132.0
TRD000451,F005,A002,2025-10-14,Sell,177,161.6,28603.2,-28603.2
TRD000452,F008,A016,2026-04-27,Sell,382,166.25,63507.5,-63507.5
TRD000453,F002,A017,2026-06-06,Buy,270,171.44,46288.8,46288.8
TRD000454,F008,A016,2026-06-23,Buy,174,202.25,35191.5,35191.5
TRD000455,F008,A017,2025-02-07,Buy,147,181.71,26711.37,26711.37
TRD000456,F004,A020,2025-08-12,Buy,451,150.3,67785.3,67785.3
TRD000457,F007,A010,2025-09-18,Buy,488,121.0,59048.0,59048.0
TRD000458,F003,A005,2025-12-27,Buy,161,124.91,20110.51,20110.51
TRD000459,F001,A004,2026-03-13,Buy,272,184.83,50273.76,50273.76
TRD000460,F007,A012,2025-11-21,Buy,198,61.22,12121.56,12121.56
TRD000461,F001,A002,2025-03-19,Buy,236,160.9,37972.4,37972.4
TRD000462,F002,A019,2026-07-14,Buy,441,331.92,146376.72,146376.72
TRD000463,F005,A002,2026-01-04,Buy,60,154.85,9291.0,9291.0
TRD000464,F004,A020,2025-09-14,Buy,110,171.89,18907.9,18907.9
TRD000465,F005,A002,2025-05-22,Sell,371,180.32,66898.72,-66898.72
TRD000466,F005,A001,2025-12-21,Sell,404,264.11,106700.44,-106700.44
TRD000467,F007,A012,2025-01-13,Buy,430,57.45,24703.5,24703.5
TRD000468,F003,A018,2025-08-03,Buy,126,97.89,12334.14,12334.14
TRD000469,F008,A019,2025-03-29,Buy,426,327.9,139685.4,139685.4
TRD000470,F004,A020,2026-03-04,Buy,404,184.96,74723.84,74723.84
TRD000471,F008,A019,2026-08-15,Sell,25,319.27,7981.75,-7981.75
TRD000472,F005,A014,2025-12-30,Buy,14,255.6,3578.4,3578.4
TRD000473,F007,A012,2026-07-05,Buy,361,60.35,21786.35,21786.35
TRD000474,F001,A007,2025-05-23,Buy,412,152.73,62924.76,62924.76
TRD000475,F006,A020,2026-08-11,Sell,332,177.97,59086.04,-59086.04
TRD000476,F007,A010,2026-07-02,Buy,495,106.13,52534.35,52534.35
TRD000477,F008,A016,2026-04-08,Buy,178,194.1,34549.8,34549.8
TRD000478,F005,A001,2026-07-21,Buy,97,247.66,24023.02,24023.02
TRD000479,F008,A016,2026-01-31,Buy,105,172.96,18160.8,18160.8
TRD000480,F004,A020,2026-04-11,Buy,347,164.51,57084.97,57084.97
TRD000481,F001,A002,2026-02-25,Buy,177,193.73,34290.21,34290.21
TRD000482,F002,A017,2025-03-12,Buy,284,173.05,49146.2,49146.2
TRD000483,F004,A018,2026-03-19,Sell,455,97.21,44230.55,-44230.55
TRD000484,F008,A016,2025-11-14,Buy,319,194.41,62016.79,62016.79
TRD000485,F008,A017,2025-05-27,Buy,113,151.18,17083.34,17083.34
TRD000486,F007,A010,2026-08-06,Sell,279,104.1,29043.9,-29043.9
TRD000487,F008,A017,2025-04-04,Buy,304,152.86,46469.44,46469.44
TRD000488,F008,A017,2025-11-01,Buy,368,195.62,71988.16,71988.16
TRD000489,F003,A018,2026-03-19,Buy,137,96.37,13202.69,13202.69
TRD000490,F003,A005,2025-02-14,Buy,211,134.59,28398.49,28398.49
TRD000491,F003,A015,2025-10-26,Buy,461,137.73,63493.53,63493.53
TRD000492,F002,A018,2025-08-11,Sell,381,113.73,43331.13,-43331.13
TRD000493,F007,A009,2025-04-18,Buy,198,84.73,16776.54,16776.54
TRD000494,F006,A018,2025-08-01,Buy,240,95.9,23016.0,23016.0
TRD000495,F008,A016,2026-04-18,Buy,47,198.05,9308.35,9308.35
TRD000496,F007,A010,2025-09-14,Buy,213,94.51,20130.63,20130.63
TRD000497,F003,A016,2026-05-12,Buy,353,204.31,72121.43,72121.43
TRD000498,F002,A018,2026-03-25,Buy,346,98.38,34039.48,34039.48
TRD000499,F005,A002,2025-04-13,Buy,97,192.62,18684.14,18684.14
TRD000500,F002,A018,2025-03-21,Buy,389,103.13,40117.57,40117.57
TRD000501,F001,A008,2026-01-02,Buy,149,202.91,30233.59,30233.59
TRD000502,F001,A008,2025-02-18,Sell,282,207.17,58421.94,-58421.94
TRD000503,F002,A019,2025-02-23,Buy,363,312.66,113495.58,113495.58
TRD000504,F001,A004,2025-09-13,Buy,402,162.39,65280.78,65280.78
TRD000505,F004,A018,2025-01-29,Sell,56,91.14,5103.84,-5103.84
TRD000506,F006,A013,2025-08-14,Sell,358,314.34,112533.72,-112533.72
TRD000507,F002,A018,2025-02-15,Buy,95,113.79,10810.05,10810.05
TRD000508,F002,A019,2025-07-14,Buy,175,337.92,59136.0,59136.0
TRD000509,F007,A012,2025-04-19,Buy,71,51.6,3663.6,3663.6
TRD000510,F003,A001,2025-01-13,Buy,215,294.0,63210.0,63210.0
TRD000511,F008,A016,2025-10-13,Buy,43,199.14,8563.02,8563.02
TRD000512,F006,A001,2026-02-25,Buy,44,313.52,13794.88,13794.88
TRD000513,F008,A016,2026-08-06,Buy,374,192.19,71879.06,71879.06
TRD000514,F002,A018,2026-02-02,Buy,176,122.02,21475.52,21475.52
TRD000515,F003,A016,2025-11-22,Sell,99,197.85,19587.15,-19587.15
TRD000516,F008,A016,2026-04-05,Buy,181,162.62,29434.22,29434.22
TRD000517,F004,A018,2025-05-08,Buy,129,91.31,11778.99,11778.99
TRD000518,F007,A010,2025-05-21,Buy,327,95.88,31352.76,31352.76
TRD000519,F005,A002,2025-02-08,Buy,87,168.34,14645.58,14645.58
TRD000520,F008,A019,2025-10-12,Buy,459,314.69,144442.71,144442.71
TRD000521,F001,A007,2025-10-23,Sell,415,203.11,84290.65,-84290.65
TRD000522,F004,A020,2026-07-07,Buy,185,150.68,27875.8,27875.8
TRD000523,F004,A018,2026-06-18,Buy,321,118.54,38051.34,38051.34
TRD000524,F008,A019,2026-05-19,Buy,13,288.41,3749.33,3749.33
TRD000525,F004,A018,2025-07-29,Buy,334,122.36,40868.24,40868.24
TRD000526,F003,A013,2026-03-13,Sell,130,299.85,38980.5,-38980.5
TRD000527,F005,A002,2026-03-11,Buy,379,158.99,60257.21,60257.21
TRD000528,F004,A020,2025-07-26,Buy,156,167.05,26059.8,26059.8
TRD000529,F008,A016,2026-02-12,Buy,496,217.08,107671.68,107671.68
TRD000530,F008,A017,2026-03-20,Sell,226,177.67,40153.42,-40153.42
TRD000531,F008,A016,2025-03-27,Sell,400,183.37,73348.0,-73348.0
TRD000532,F005,A006,2025-06-29,Buy,285,143.93,41020.05,41020.05
TRD000533,F008,A017,2026-07-30,Buy,242,165.85,40135.7,40135.7
TRD000534,F002,A019,2025-07-20,Buy,79,353.12,27896.48,27896.48
TRD000535,F004,A018,2026-01-19,Buy,16,118.19,1891.04,1891.04
TRD000536,F007,A012,2026-05-17,Buy,390,53.97,21048.3,21048.3
TRD000537,F002,A019,2025-05-08,Buy,463,285.84,132343.92,132343.92
TRD000538,F003,A013,2025-09-19,Sell,400,293.46,117384.0,-117384.0
TRD000539,F006,A020,2026-01-13,Buy,373,162.75,60705.75,60705.75
TRD000540,F007,A012,2026-05-05,Buy,386,51.84,20010.24,20010.24
TRD000541,F006,A001,2025-06-01,Buy,367,294.99,108261.33,108261.33
TRD000542,F008,A019,2026-08-16,Sell,85,307.29,26119.65,-26119.65
TRD000543,F003,A001,2026-01-29,Buy,69,303.86,20966.34,20966.34
TRD000544,F002,A018,2026-03-10,Buy,475,96.67,45918.25,45918.25
TRD000545,F007,A011,2026-06-30,Buy,364,149.99,54596.36,54596.36
TRD000546,F007,A011,2025-04-02,Buy,385,155.22,59759.7,59759.7
TRD000547,F006,A013,2026-02-12,Buy,147,321.5,47260.5,47260.5
TRD000548,F001,A002,2025-04-10,Buy,427,174.43,74481.61,74481.61
TRD000549,F007,A012,2026-03-18,Buy,345,52.54,18126.3,18126.3
TRD000550,F006,A013,2026-05-14,Buy,370,266.36,98553.2,98553.2
TRD000551,F002,A019,2025-07-10,Buy,300,363.03,108909.0,108909.0
TRD000552,F003,A013,2026-02-23,Buy,142,342.53,48639.26,48639.26
TRD000553,F002,A018,2025-03-29,Buy,95,93.18,8852.1,8852.1
TRD000554,F005,A001,2025-08-29,Buy,185,241.37,44653.45,44653.45
TRD000555,F002,A017,2025-01-08,Buy,41,164.94,6762.54,6762.54
TRD000556,F001,A001,2025-01-08,Buy,118,282.9,33382.2,33382.2
TRD000557,F005,A005,2026-03-16,Buy,252,136.81,34476.12,34476.12
TRD000558,F006,A016,2026-01-05,Buy,428,175.28,75019.84,75019.84
TRD000559,F007,A009,2025-04-13,Buy,192,107.92,20720.64,20720.64
TRD000560,F007,A010,2026-06-28,Buy,23,113.08,2600.84,2600.84
TRD000561,F004,A020,2026-05-02,Buy,241,169.11,40755.51,40755.51
TRD000562,F004,A018,2025-11-26,Buy,336,121.26,40743.36,40743.36
TRD000563,F006,A001,2026-03-31,Buy,423,300.9,127280.7,127280.7
TRD000564,F008,A017,2025-03-25,Buy,388,183.38,71151.44,71151.44
TRD000565,F008,A019,2025-04-13,Sell,448,351.59,157512.32,-157512.32
TRD000566,F005,A006,2026-06-17,Sell,109,170.88,18625.92,-18625.92
TRD000567,F001,A002,2025-11-05,Sell,264,190.43,50273.52,-50273.52
TRD000568,F008,A016,2025-04-29,Buy,468,187.07,87548.76,87548.76
TRD000569,F004,A018,2025-04-02,Buy,118,96.08,11337.44,11337.44
TRD000570,F001,A002,2026-01-28,Sell,485,197.36,95719.6,-95719.6
TRD000571,F004,A020,2025-05-07,Buy,350,162.15,56752.5,56752.5
TRD000572,F008,A016,2025-08-18,Sell,417,201.07,83846.19,-83846.19
TRD000573,F002,A018,2026-01-26,Buy,185,102.69,18997.65,18997.65
TRD000574,F007,A010,2025-10-25,Buy,124,101.8,12623.2,12623.2
TRD000575,F002,A019,2025-07-12,Sell,389,340.92,132617.88,-132617.88
TRD000576,F002,A018,2025-11-17,Sell,198,94.7,18750.6,-18750.6
TRD000577,F001,A003,2025-07-14,Sell,41,417.84,17131.44,-17131.44
TRD000578,F007,A011,2025-05-10,Buy,404,152.99,61807.96,61807.96
TRD000579,F004,A018,2026-04-17,Buy,212,90.92,19275.04,19275.04
TRD000580,F005,A002,2025-05-31,Buy,265,184.3,48839.5,48839.5
TRD000581,F003,A001,2026-05-30,Sell,316,265.86,84011.76,-84011.76
TRD000582,F002,A019,2026-05-05,Buy,444,352.29,156416.76,156416.76
TRD000583,F004,A020,2026-01-21,Buy,159,173.31,27556.29,27556.29
TRD000584,F006,A013,2025-08-19,Sell,433,318.64,137971.12,-137971.12
TRD000585,F001,A002,2026-02-06,Buy,448,174.2,78041.6,78041.6
TRD000586,F003,A001,2026-03-09,Buy,290,271.94,78862.6,78862.6
TRD000587,F006,A018,2025-10-17,Buy,210,92.92,19513.2,19513.2
TRD000588,F004,A020,2026-08-18,Sell,59,145.23,8568.57,-8568.57
TRD000589,F001,A008,2025-06-17,Buy,165,223.56,36887.4,36887.4
TRD000590,F008,A019,2025-05-29,Buy,257,310.95,79914.15,79914.15
TRD000591,F004,A018,2026-08-13,Buy,195,113.85,22200.75,22200.75
TRD000592,F003,A018,2025-06-22,Sell,496,122.06,60541.76,-60541.76
TRD000593,F002,A019,2025-02-23,Buy,252,299.86,75564.72,75564.72
TRD000594,F006,A020,2026-02-18,Buy,232,186.32,43226.24,43226.24
TRD000595,F002,A017,2025-06-26,Buy,213,176.78,37654.14,37654.14
TRD000596,F007,A009,2026-01-27,Buy,408,96.0,39168.0,39168.0
TRD000597,F008,A017,2025-03-26,Buy,15,157.17,2357.55,2357.55
TRD000598,F004,A018,2026-08-10,Buy,310,108.95,33774.5,33774.5
TRD000599,F002,A018,2026-03-21,Buy,102,102.91,10496.82,10496.82
TRD000600,F003,A005,2026-07-05,Buy,176,110.39,19428.64,19428.64
TRD000601,F001,A004,2026-06-27,Buy,294,195.34,57429.96,57429.96
TRD000602,F002,A017,2025-07-05,Sell,347,198.55,68896.85,-68896.85
TRD000603,F003,A001,2025-11-18,Buy,294,276.57,81311.58,81311.58
TRD000604,F003,A013,2026-07-30,Buy,344,268.77,92456.88,92456.88
TRD000605,F001,A001,2026-01-08,Sell,73,281.54,20552.42,-20552.42
TRD000606,F003,A018,2025-09-12,Buy,493,111.68,55058.24,55058.24
TRD000607,F005,A014,2026-08-14,Buy,283,251.4,71146.2,71146.2
TRD000608,F006,A020,2025-12-27,Buy,476,187.12,89069.12,89069.12
TRD000609,F004,A018,2025-08-31,Buy,349,116.85,40780.65,40780.65
TRD000610,F003,A015,2025-05-18,Buy,448,145.86,65345.28,65345.28
TRD000611,F004,A020,2026-03-09,Buy,152,145.11,22056.72,22056.72
TRD000612,F005,A003,2025-06-17,Buy,205,425.13,87151.65,87151.65
TRD000613,F002,A019,2025-05-27,Buy,356,324.31,115454.36,115454.36
TRD000614,F002,A018,2025-07-17,Sell,385,99.24,38207.4,-38207.4
TRD000615,F003,A018,2026-03-21,Buy,430,95.54,41082.2,41082.2
TRD000616,F004,A018,2025-04-23,Buy,148,94.61,14002.28,14002.28
TRD000617,F007,A009,2026-01-07,Sell,178,101.14,18002.92,-18002.92
TRD000618,F005,A002,2025-10-08,Buy,454,190.5,86487.0,86487.0
TRD000619,F007,A010,2025-05-07,Buy,203,124.6,25293.8,25293.8
TRD000620,F005,A006,2025-04-08,Buy,430,175.45,75443.5,75443.5
TRD000621,F005,A006,2025-02-19,Buy,148,165.84,24544.32,24544.32
TRD000622,F007,A010,2026-06-29,Buy,186,119.81,22284.66,22284.66
TRD000623,F007,A012,2025-01-10,Buy,313,49.83,15596.79,15596.79
TRD000624,F003,A009,2025-10-01,Buy,83,93.53,7762.99,7762.99
TRD000625,F006,A013,2026-04-14,Buy,357,308.94,110291.58,110291.58
TRD000626,F006,A018,2026-03-15,Buy,267,99.8,26646.6,26646.6
TRD000627,F004,A020,2025-11-09,Buy,335,180.85,60584.75,60584.75
TRD000628,F006,A001,2025-09-03,Sell,334,245.57,82020.38,-82020.38
TRD000629,F003,A001,2026-07-22,Sell,53,301.54,15981.62,-15981.62
TRD000630,F001,A004,2025-05-20,Buy,356,178.81,63656.36,63656.36
TRD000631,F002,A019,2025-01-08,Sell,17,343.31,5836.27,-5836.27
TRD000632,F006,A013,2026-06-25,Buy,388,313.65,121696.2,121696.2
TRD000633,F001,A007,2026-06-21,Sell,239,202.42,48378.38,-48378.38
TRD000634,F003,A005,2026-06-11,Buy,197,139.95,27570.15,27570.15
TRD000635,F001,A004,2026-01-18,Sell,263,171.88,45204.44,-45204.44
TRD000636,F006,A013,2025-05-01,Buy,435,302.69,131670.15,131670.15
TRD000637,F008,A017,2026-08-06,Buy,145,162.12,23507.4,23507.4
TRD000638,F005,A014,2025-02-06,Sell,273,280.6,76603.8,-76603.8
TRD000639,F008,A016,2026-04-17,Buy,192,161.95,31094.4,31094.4
TRD000640,F006,A001,2025-07-10,Buy,12,268.35,3220.2,3220.2
TRD000641,F001,A001,2025-03-28,Buy,230,280.35,64480.5,64480.5
TRD000642,F003,A018,2025-01-08,Buy,73,119.83,8747.59,8747.59
TRD000643,F005,A002,2025-11-03,Buy,250,169.37,42342.5,42342.5
TRD000644,F003,A015,2026-03-26,Buy,65,152.1,9886.5,9886.5
TRD000645,F006,A018,2025-07-23,Buy,12,102.12,1225.44,1225.44
TRD000646,F005,A001,2025-12-06,Sell,78,272.13,21226.14,-21226.14
TRD000647,F003,A013,2025-09-30,Buy,495,297.32,147173.4,147173.4
TRD000648,F008,A019,2025-05-11,Buy,263,361.58,95095.54,95095.54
TRD000649,F007,A012,2025-04-21,Sell,77,49.53,3813.81,-3813.81
TRD000650,F003,A009,2025-08-31,Buy,186,97.06,18053.16,18053.16
TRD000651,F006,A018,2026-03-21,Buy,315,114.21,35976.15,35976.15
TRD000652,F005,A005,2025-09-11,Buy,52,136.96,7121.92,7121.92
TRD000653,F003,A013,2025-09-27,Sell,153,323.12,49437.36,-49437.36
TRD000654,F004,A020,2025-04-16,Sell,111,162.03,17985.33,-17985.33
TRD000655,F003,A013,2025-06-02,Buy,447,307.37,137394.39,137394.39
TRD000656,F003,A018,2025-07-16,Sell,29,99.39,2882.31,-2882.31
TRD000657,F007,A009,2025-02-22,Buy,325,88.31,28700.75,28700.75
TRD000658,F005,A014,2025-08-16,Buy,334,292.44,97674.96,97674.96
TRD000659,F008,A016,2025-02-22,Buy,271,185.97,50397.87,50397.87
TRD000660,F005,A003,2026-03-05,Buy,153,460.92,70520.76,70520.76
TRD000661,F001,A002,2025-11-26,Buy,30,148.66,4459.8,4459.8
TRD000662,F008,A017,2026-03-18,Buy,475,183.06,86953.5,86953.5
TRD000663,F008,A017,2025-04-10,Buy,181,166.98,30223.38,30223.38
TRD000664,F003,A016,2026-01-06,Sell,194,203.89,39554.66,-39554.66
TRD000665,F006,A013,2026-01-29,Buy,342,279.07,95441.94,95441.94
TRD000666,F002,A017,2025-05-04,Buy,332,190.3,63179.6,63179.6
TRD000667,F004,A018,2025-04-12,Buy,370,104.89,38809.3,38809.3
TRD000668,F006,A016,2025-07-26,Buy,381,188.66,71879.46,71879.46
TRD000669,F003,A001,2026-07-18,Sell,75,255.03,19127.25,-19127.25
TRD000670,F006,A016,2025-05-01,Sell,239,197.54,47212.06,-47212.06
TRD000671,F002,A019,2026-05-31,Sell,224,334.1,74838.4,-74838.4
TRD000672,F003,A015,2025-10-24,Buy,366,151.23,55350.18,55350.18
TRD000673,F001,A008,2026-02-12,Buy,107,242.8,25979.6,25979.6
TRD000674,F002,A017,2026-01-29,Buy,234,190.73,44630.82,44630.82
TRD000675,F007,A012,2025-07-08,Buy,320,52.25,16720.0,16720.0
TRD000676,F004,A018,2026-06-10,Buy,460,120.33,55351.8,55351.8
TRD000677,F005,A003,2025-10-02,Buy,446,372.72,166233.12,166233.12
TRD000678,F003,A013,2025-10-26,Buy,33,302.19,9972.27,9972.27
TRD000679,F003,A015,2025-02-22,Buy,484,118.03,57126.52,57126.52
TRD000680,F004,A018,2025-12-22,Buy,283,94.34,26698.22,26698.22
TRD000681,F006,A016,2026-07-17,Buy,52,215.59,11210.68,11210.68
TRD000682,F003,A018,2025-11-29,Sell,469,110.19,51679.11,-51679.11
TRD000683,F001,A003,2025-10-14,Buy,122,434.98,53067.56,53067.56
TRD000684,F001,A007,2025-04-19,Sell,346,203.18,70300.28,-70300.28
TRD000685,F007,A011,2026-07-19,Buy,455,165.49,75297.95,75297.95
TRD000686,F008,A016,2026-08-19,Buy,176,176.94,31141.44,31141.44
TRD000687,F007,A010,2026-03-21,Buy,238,100.9,24014.2,24014.2
TRD000688,F008,A016,2025-07-09,Sell,263,171.96,45225.48,-45225.48
TRD000689,F003,A013,2025-07-04,Buy,301,298.33,89797.33,89797.33
TRD000690,F001,A003,2026-02-08,Buy,93,453.87,42209.91,42209.91
TRD000691,F004,A018,2025-09-09,Buy,83,92.93,7713.19,7713.19
TRD000692,F007,A009,2025-01-13,Buy,380,97.84,37179.2,37179.2
TRD000693,F007,A012,2025-01-14,Sell,20,49.54,990.8,-990.8
TRD000694,F001,A002,2025-10-02,Buy,137,189.03,25897.11,25897.11
TRD000695,F001,A001,2026-07-10,Sell,500,305.61,152805.0,-152805.0
TRD000696,F006,A001,2026-07-31,Sell,113,250.6,28317.8,-28317.8
TRD000697,F003,A015,2025-09-07,Buy,179,131.79,23590.41,23590.41
TRD000698,F005,A014,2025-02-15,Buy,288,226.72,65295.36,65295.36
TRD000699,F005,A001,2026-03-02,Buy,271,313.6,84985.6,84985.6
TRD000700,F004,A018,2025-05-31,Buy,126,104.29,13140.54,13140.54
TRD000701,F005,A002,2026-01-29,Buy,481,194.74,93669.94,93669.94
TRD000702,F002,A019,2025-08-18,Buy,96,380.58,36535.68,36535.68
TRD000703,F005,A003,2025-05-02,Buy,49,420.97,20627.53,20627.53
TRD000704,F002,A017,2026-03-15,Buy,319,158.82,50663.58,50663.58
TRD000705,F003,A018,2025-11-05,Buy,86,119.19,10250.34,10250.34
TRD000706,F005,A003,2026-05-27,Buy,458,358.51,164197.58,164197.58
TRD000707,F005,A014,2025-01-03,Sell,418,223.13,93268.34,-93268.34
TRD000708,F003,A009,2026-04-03,Sell,173,86.8,15016.4,-15016.4
