transactionid,investorid,fundid,transactiondate,transactiontype,amount,currency
ITX000397,INV0080,F003,2025-11-01,Subscription,42353.13,EUR
ITX000398,INV0087,F003,2025-11-17,Redemption,-29713.33,EUR
ITX000399,INV0024,F006,2025-05-25,Subscription,15616.31,EUR
ITX000400,INV0018,F007,2026-03-10,Subscription,21202.84,EUR
ITX000401,INV0089,F003,2026-07-23,Subscription,31957.33,EUR
ITX000402,INV0024,F006,2026-04-07,Subscription,14797.32,EUR
ITX000403,INV0002,F008,2025-05-20,Subscription,43343.35,EUR
ITX000404,INV0072,F008,2026-02-23,Subscription,19505.24,EUR
ITX000405,INV0057,F008,2025-06-21,Subscription,21073.71,EUR
ITX000406,INV0098,F004,2025-10-27,Subscription,2027.6,EUR
ITX000407,INV0037,F003,2026-04-14,Subscription,11629.75,EUR
ITX000408,INV0064,F002,2026-08-10,Subscription,38741.11,EUR
ITX000409,INV0047,F001,2026-03-28,Subscription,38868.09,EUR
ITX000410,INV0014,F004,2025-11-01,Subscription,49493.9,EUR
ITX000411,INV0034,F006,2025-03-31,Redemption,-2095.4,EUR
ITX000412,INV0100,F004,2025-08-03,Subscription,49700.91,EUR
ITX000413,INV0045,F007,2025-06-19,Subscription,29602.23,EUR
ITX000414,INV0027,F001,2026-08-07,Subscription,39350.04,EUR
ITX000415,INV0069,F003,2025-11-28,Subscription,14413.71,EUR
ITX000416,INV0074,F005,2026-06-11,Redemption,-14985.42,EUR
ITX000417,INV0013,F003,2026-02-26,Redemption,-34125.32,EUR
ITX000418,INV0084,F003,2025-05-16,Redemption,-49628.07,EUR
ITX000419,INV0032,F007,2026-05-17,Subscription,35714.05,EUR
ITX000420,INV0081,F007,2026-01-20,Subscription,31803.9,EUR
ITX000421,INV0099,F002,2026-02-17,Subscription,31864.57,EUR
ITX000422,INV0048,F008,2026-05-15,Subscription,14272.17,EUR
ITX000423,INV0100,F002,2026-04-15,Subscription,622.42,EUR
ITX000424,INV0009,F007,2025-08-12,Subscription,35015.8,EUR
ITX000425,INV0064,F005,2025-11-27,Redemption,-41329.96,EUR
ITX000426,INV0074,F003,2026-08-03,Redemption,-17218.88,EUR
ITX000427,INV0088,F001,2025-02-17,Redemption,-39521.03,EUR
ITX000428,INV0059,F001,2025-05-08,Subscription,39302.54,EUR
ITX000429,INV0059,F001,2026-03-15,Redemption,-8320.18,EUR
ITX000430,INV0017,F005,2025-06-12,Subscription,34585.3,EUR
ITX000431,INV0012,F006,2025-09-14,Redemption,-43891.45,EUR
ITX000432,INV0084,F003,2025-02-23,Subscription,33393.19,EUR
ITX000433,INV0090,F004,2026-03-16,Subscription,15622.71,EUR
ITX000434,INV0001,F004,2026-05-04,Subscription,35333.05,EUR
ITX000435,INV0067,F008,2025-01-10,Subscription,29887.14,EUR
ITX000436,INV0016,F007,2025-05-16,Subscription,17506.92,EUR
ITX000437,INV0012,F002,2025-04-16,Subscription,11832.87,EUR
ITX000438,INV0018,F007,2025-05-17,Subscription,44108.96,EUR
ITX000439,INV0009,F001,2025-06-18,Subscription,34018.29,EUR
ITX000440,INV0081,F003,2026-02-26,Subscription,36260.39,EUR
ITX000441,INV0028,F002,2025-04-13,Subscription,22398.0,EUR
ITX000442,INV0094,F007,2025-12-26,Subscription,6596.28,EUR
ITX000443,INV0018,F004,2025-10-11,Redemption,-16067.93,EUR
ITX000444,INV0077,F005,2025-01-28,Subscription,12784.27,EUR
ITX000445,INV0039,F004,2026-06-15,Redemption,-33091.07,EUR
ITX000446,INV0051,F005,2025-02-25,Subscription,9838.0,EUR
ITX000447,INV0031,F008,2026-01-31,Subscription,39792.01,EUR
ITX000448,INV0077,F002,2026-06-25,Subscription,25229.34,EUR
ITX000449,INV0047,F006,2025-05-16,Redemption,-1097.32,EUR
ITX000450,INV0054,F006,2026-07-14,Subscription,42029.18,EUR
ITX000451,INV0099,F002,2025-01-18,Subscription,38254.93,EUR
ITX000452,INV0028,F001,2025-03-03,Subscription,1182.77,EUR
ITX000453,INV0037,F007,2026-03-10,Redemption,-20199.76,EUR
ITX000454,INV0069,F003,2025-10-12,Subscription,4580.18,EUR
ITX000455,INV0027,F003,2026-07-04,Subscription,4411.57,EUR
ITX000456,INV0098,F002,2025-11-14,Subscription,29528.64,EUR
ITX000457,INV0031,F001,2025-09-08,Subscription,36632.94,EUR
ITX000458,INV0059,F001,2025-11-13,Subscription,22006.94,EUR
ITX000459,INV0023,F002,2025-01-13,Subscription,33073.59,EUR
ITX000460,INV0021,F008,2025-12-22,Subscription,35224.23,EUR
ITX000461,INV0093,F005,2025-06-20,Subscription,39257.86,EUR
ITX000462,INV0035,F002,2025-01-31,Subscription,37613.93,EUR
ITX000463,INV0068,F002,2025-09-27,Subscription,21751.57,EUR
ITX000464,INV0010,F008,2026-04-12,Subscription,29044.26,EUR
ITX000465,INV0073,F003,2026-01-12,Subscription,3244.24,EUR
ITX000466,INV0074,F002,2025-08-22,Subscription,38779.78,EUR
ITX000467,INV0002,F004,2025-02-17,Subscription,627.14,EUR
ITX000468,INV0020,F003,2025-02-06,Subscription,19457.48,EUR
ITX000469,INV0095,F007,2025-08-18,Subscription,45740.41,EUR
ITX000470,INV0093,F006,2025-10-05,Subscription,21104.7,EUR
ITX000471,INV0016,F001,2025-07-03,Redemption,-28791.03,EUR
ITX000472,INV0006,F007,2025-03-12,Subscription,26030.82,EUR
ITX000473,INV0100,F005,2025-12-02,Redemption,-43368.6,EUR
ITX000474,INV0048,F004,2025-10-26,Subscription,23108.94,EUR
ITX000475,INV0080,F004,2026-04-21,Subscription,15543.51,EUR
ITX000476,INV0099,F004,2026-07-14,Subscription,48606.96,EUR
ITX000477,INV0001,F007,2025-01-25,Subscription,12633.78,EUR
ITX000478,INV0089,F001,2025-12-10,Subscription,17647.97,EUR
ITX000479,INV0095,F005,2025-04-17,Subscription,33036.54,EUR
ITX000480,INV0054,F008,2025-03-03,Subscription,49164.23,EUR
ITX000481,INV0036,F002,2025-02-14,Redemption,-7547.49,EUR
ITX000482,INV0067,F007,2026-01-17,Redemption,-44915.73,EUR
ITX000483,INV0075,F002,2026-06-02,Subscription,37521.02,EUR
ITX000484,INV0010,F001,2026-03-22,Subscription,41088.16,EUR
ITX000485,INV0038,F005,2025-11-19,Subscription,6970.06,EUR
ITX000486,INV0095,F006,2025-11-22,Redemption,-19951.16,EUR
ITX000487,INV0026,F003,2025-04-22,Subscription,12063.76,EUR
ITX000488,INV0060,F006,2026-02-21,Subscription,8636.56,EUR
ITX000489,INV0099,F004,2026-04-08,Subscription,18235.23,EUR
ITX000490,INV0016,F002,2025-06-11,Subscription,13617.89,EUR
ITX000491,INV0091,F001,2025-08-09,Subscription,15558.64,EUR
ITX000492,INV0012,F004,2025-12-31,Redemption,-16725.79,EUR
ITX000493,INV0039,F005,2025-06-28,Subscription,2923.06,EUR
ITX000494,INV0058,F004,2025-04-07,Subscription,20517.42,EUR
ITX000495,INV0018,F002,2025-01-13,Subscription,40292.89,EUR
ITX000496,INV0029,F003,2025-07-22,Subscription,39157.52,EUR
ITX000497,INV0081,F002,2026-08-20,Redemption,-18925.87,EUR
ITX000498,INV0010,F001,2025-03-08,Subscription,45912.71,EUR
ITX000499,INV0017,F002,2025-12-06,Subscription,32476.35,EUR
ITX000500,INV0007,F003,2026-08-11,Subscription,47142.89,EUR
ITX000501,INV0064,F001,2026-01-27,Subscription,36359.33,EUR
ITX000502,INV0028,F003,2025-10-09,Subscription,9053.96,EUR
ITX000503,INV0005,F004,2025-10-30,Subscription,44229.48,EUR
ITX000504,INV0062,F001,2025-03-31,Subscription,44197.54,EUR
ITX000505,INV0026,F004,2026-07-11,Subscription,7293.18,EUR
ITX000506,INV0092,F006,2026-05-07,Subscription,49475.48,EUR
ITX000507,INV0073,F006,2026-02-02,Subscription,24491.63,EUR
ITX000508,INV0077,F004,2025-01-31,Subscription,1790.12,EUR
ITX000509,INV0008,F008,2026-06-27,Redemption,-39037.64,EUR
ITX000510,INV0030,F003,2025-04-13,Subscription,29407.45,EUR
ITX000511,INV0069,F001,2025-08-13,Subscription,12437.06,EUR
ITX000512,INV0050,F006,2025-06-27,Subscription,49141.9,EUR
ITX000513,INV0095,F006,2025-01-29,Subscription,29829.72,EUR
ITX000514,INV0073,F003,2026-07-31,Subscription,17908.27,EUR
ITX000515,INV0064,F005,2025-06-29,Redemption,-41916.49,EUR
ITX000516,INV0030,F004,2025-01-21,Subscription,4967.74,EUR
ITX000517,INV0079,F004,2025-05-14,Subscription,533.83,EUR
ITX000518,INV0042,F001,2025-01-23,Subscription,9284.26,EUR
ITX000519,INV0019,F002,2026-06-23,Subscription,35382.47,EUR
ITX000520,INV0048,F007,2025-04-14,Redemption,-48047.66,EUR
ITX000521,INV0021,F007,2026-05-14,Subscription,16468.86,EUR
ITX000522,INV0072,F006,2025-08-17,Subscription,9123.03,EUR
ITX000523,INV0049,F005,2025-10-29,Subscription,40815.48,EUR
ITX000524,INV0090,F007,2026-08-05,Subscription,36577.13,EUR
ITX000525,INV0079,F004,2026-08-03,Subscription,30318.24,EUR
ITX000526,INV0043,F002,2025-09-01,Subscription,25061.16,EUR
ITX000527,INV0082,F002,2025-12-10,Subscription,16316.17,EUR
ITX000528,INV0032,F002,2025-12-25,Subscription,13628.02,EUR
ITX000529,INV0001,F001,2026-01-31,Subscription,5847.71,EUR
ITX000530,INV0022,F007,2026-05-20,Subscription,21272.83,EUR
ITX000531,INV0049,F002,2026-05-06,Redemption,-17885.94,EUR
ITX000532,INV0098,F004,2025-06-16,Subscription,29113.75,EUR
ITX000533,INV0005,F005,2025-01-21,Subscription,40060.13,EUR
ITX000534,INV0010,F006,2025-06-24,Subscription,47607.28,EUR
ITX000535,INV0010,F002,2025-12-13,Redemption,-8464.77,EUR
ITX000536,INV0062,F001,2026-03-18,Subscription,30875.41,EUR
ITX000537,INV0056,F003,2025-02-24,Redemption,-8667.36,EUR
ITX000538,INV0025,F007,2026-07-22,Subscription,10674.75,EUR
ITX000539,INV0034,F005,2025-11-01,Subscription,36633.71,EUR
ITX000540,INV0074,F008,2025-06-07,Subscription,2956.95,EUR
ITX000541,INV0012,F005,2026-05-07,Subscription,688.87,EUR
ITX000542,INV0022,F005,2025-03-25,Subscription,1773.92,EUR
ITX000543,INV0051,F008,2026-05-16,Subscription,6217.69,EUR
ITX000544,INV0083,F007,2025-07-09,Redemption,-13617.72,EUR
ITX000545,INV0024,F008,2025-02-15,Subscription,19381.54,EUR
ITX000546,INV0029,F005,2026-08-01,Subscription,23520.37,EUR
ITX000547,INV0086,F002,2025-03-29,Subscription,37735.64,EUR
ITX000548,INV0053,F004,2026-07-21,Subscription,40504.92,EUR
ITX000549,INV0067,F007,2026-07-03,Subscription,19661.75,EUR
ITX000550,INV0074,F004,2026-05-03,Subscription,46849.89,EUR
ITX000551,INV0092,F001,2026-05-30,Subscription,20042.82,EUR
ITX000552,INV0074,F003,2025-05-04,Subscription,26082.46,EUR
ITX000553,INV0022,F004,2025-07-17,Redemption,-22727.47,EUR
ITX000554,INV0088,F007,2025-07-26,Subscription,21457.06,EUR
ITX000555,INV0077,F005,2025-11-24,Redemption,-31547.7,EUR
ITX000556,INV0009,F002,2026-02-02,Redemption,-45751.61,EUR
ITX000557,INV0036,F008,2025-01-13,Subscription,27826.68,EUR
ITX000558,INV0067,F007,2025-04-26,Subscription,31341.37,EUR
ITX000559,INV0076,F002,2025-04-19,Subscription,7835.89,EUR
ITX000560,INV0037,F006,2026-02-25,Subscription,5499.03,EUR
ITX000561,INV0074,F008,2025-02-08,Subscription,32911.99,EUR
ITX000562,INV0080,F007,2025-02-09,Subscription,20447.21,EUR
ITX000563,INV0089,F004,2025-02-20,Subscription,44008.4,EUR
ITX000564,INV0048,F001,2025-12-12,Subscription,46081.33,EUR
ITX000565,INV0036,F008,2025-04-11,Subscription,15501.22,EUR
ITX000566,INV0039,F008,2025-11-25,Redemption,-11783.89,EUR
ITX000567,INV0083,F002,2025-07-12,Subscription,21130.25,EUR
ITX000568,INV0053,F008,2026-06-13,Subscription,45714.92,EUR
ITX000569,INV0066,F003,2025-03-09,Redemption,-41140.36,EUR
ITX000570,INV0018,F001,2025-06-27,Subscription,25586.37,EUR
ITX000571,INV0008,F004,2025-02-03,Subscription,41730.03,EUR
ITX000572,INV0091,F004,2025-10-08,Subscription,45942.54,EUR
ITX000573,INV0051,F002,2025-02-01,Subscription,23478.81,EUR
ITX000574,INV0058,F003,2026-05-01,Subscription,24694.94,EUR
ITX000575,INV0021,F005,2025-04-03,Subscription,17813.12,EUR
ITX000576,INV0021,F004,2025-08-15,Subscription,19635.0,EUR
ITX000577,INV0035,F007,2026-06-10,Subscription,34045.91,EUR
ITX000578,INV0099,F001,2026-05-01,Subscription,39125.03,EUR
ITX000579,INV0077,F001,2025-08-18,Redemption,-32544.89,EUR
ITX000580,INV0040,F005,2026-03-10,Subscription,40351.74,EUR
ITX000581,INV0059,F005,2025-08-12,Redemption,-42653.52,EUR
ITX000582,INV0080,F007,2025-04-15,Subscription,34021.21,EUR
ITX000583,INV0048,F005,2025-11-02,Subscription,49971.75,EUR
ITX000584,INV0044,F005,2025-11-29,Subscription,24346.05,EUR
ITX000585,INV0092,F005,2025-07-12,Redemption,-13426.77,EUR
ITX000586,INV0008,F007,2025-11-24,Subscription,38390.98,EUR
ITX000587,INV0084,F008,2025-10-30,Subscription,36203.52,EUR
ITX000588,INV0050,F001,2026-08-09,Subscription,21219.0,EUR
ITX000589,INV0092,F004,2026-07-02,Subscription,17486.77,EUR
ITX000590,INV0086,F006,2026-06-04,Subscription,24048.89,EUR
ITX000591,INV0085,F003,2025-10-28,Subscription,8914.34,EUR
ITX000592,INV0034,F003,2025-12-10,Subscription,6833.23,EUR
ITX000593,INV0029,F005,2026-03-07,Subscription,11501.55,EUR
ITX000594,INV0034,F005,2026-04-20,Subscription,16900.2,EUR
ITX000595,INV0082,F002,2026-04-29,Redemption,-23791.56,EUR
ITX000596,INV0088,F007,2026-06-27,Redemption,-25273.63,EUR
ITX000597,INV0020,F003,2025-07-25,Subscription,3176.07,EUR
ITX000598,INV0059,F003,2025-11-20,Subscription,49365.98,EUR
ITX000599,INV0011,F008,2025-12-07,Redemption,-9427.66,EUR
ITX000600,INV0082,F001,2025-01-05,Subscription,9252.8,EUR
ITX000601,INV0100,F003,2026-08-14,Subscription,10864.43,EUR
ITX000602,INV0098,F002,2025-05-13,Subscription,24734.07,EUR
ITX000603,INV0052,F007,2026-05-04,Subscription,31857.63,EUR
ITX000604,INV0026,F006,2025-01-15,Subscription,2367.4,EUR
ITX000605,INV0068,F004,2025-01-19,Redemption,-37963.96,EUR
ITX000606,INV0032,F004,2025-12-19,Subscription,31521.0,EUR
ITX000607,INV0065,F005,2025-06-21,Subscription,5584.06,EUR
ITX000608,INV0038,F008,2026-06-17,Subscription,2763.06,EUR
ITX000609,INV0088,F003,2025-12-17,Subscription,17222.84,EUR
ITX000610,INV0097,F004,2025-06-18,Redemption,-24763.84,EUR
ITX000611,INV0052,F001,2025-08-22,Redemption,-45951.17,EUR
ITX000612,INV0028,F001,2026-06-01,Subscription,49251.54,EUR
ITX000613,INV0084,F001,2026-01-20,Subscription,18646.28,EUR
ITX000614,INV0069,F001,2025-02-19,Redemption,-13161.56,EUR
ITX000615,INV0003,F001,2025-04-29,Subscription,32851.6,EUR
ITX000616,INV0071,F005,2026-05-01,Subscription,19322.56,EUR
ITX000617,INV0088,F001,2025-11-05,Subscription,10672.0,EUR
ITX000618,INV0067,F005,2025-05-21,Subscription,5498.5,EUR
ITX000619,INV0066,F002,2025-10-17,Subscription,44981.79,EUR
ITX000620,INV0026,F004,2025-09-27,Subscription,5760.05,EUR
ITX000621,INV0046,F007,2025-10-30,Redemption,-48669.43,EUR
ITX000622,INV0027,F008,2025-12-05,Subscription,27632.87,EUR
ITX000623,INV0012,F002,2026-08-11,Subscription,1131.1,EUR
ITX000624,INV0012,F002,2025-04-14,Subscription,7882.65,EUR
ITX000625,INV0059,F005,2025-09-28,Redemption,-32394.67,EUR
ITX000626,INV0023,F001,2025-10-25,Subscription,5440.54,EUR
ITX000627,INV0055,F002,2025-04-08,Subscription,33999.94,EUR
ITX000628,INV0002,F003,2025-06-24,Redemption,-44569.45,EUR
ITX000629,INV0080,F005,2025-04-06,Subscription,44779.12,EUR
ITX000630,INV0015,F007,2026-02-14,Subscription,17464.77,EUR
ITX000631,INV0050,F008,2026-03-08,Redemption,-13955.74,EUR
ITX000632,INV0015,F003,2025-03-02,Subscription,39947.02,EUR
ITX000633,INV0014,F007,2026-05-10,Redemption,-42295.32,EUR
ITX000634,INV0024,F007,2026-01-03,Subscription,34080.46,EUR
ITX000635,INV0094,F003,2026-05-10,Subscription,43197.5,EUR
ITX000636,INV0053,F008,2025-02-17,Redemption,-6090.41,EUR
ITX000637,INV0002,F004,2025-12-13,Subscription,32921.19,EUR
ITX000638,INV0080,F002,2026-03-20,Subscription,34567.96,EUR
ITX000639,INV0045,F007,2025-06-02,Subscription,12804.56,EUR
ITX000640,INV0079,F001,2025-01-12,Redemption,-28138.04,EUR
ITX000641,INV0061,F008,2025-06-19,Subscription,8267.9,EUR
ITX000642,INV0031,F006,2025-10-12,Subscription,24836.57,EUR
ITX000643,INV0083,F007,2026-02-17,Subscription,11523.97,EUR
ITX000644,INV0057,F008,2025-04-01,Subscription,4402.11,EUR
ITX000645,INV0016,F008,2025-01-19,Redemption,-22629.87,EUR
ITX000646,INV0072,F001,2025-04-04,Subscription,20910.76,EUR
ITX000647,INV0082,F005,2026-06-05,Subscription,48176.98,EUR
ITX000648,INV0059,F006,2026-01-08,Subscription,32902.5,EUR
ITX000649,INV0059,F006,2026-07-28,Redemption,-40921.14,EUR
ITX000650,INV0092,F006,2026-04-09,Subscription,30197.58,EUR
ITX000651,INV0029,F001,2025-12-16,Subscription,38086.34,EUR
ITX000652,INV0038,F006,2025-04-19,Subscription,31866.23,EUR
ITX000653,INV0018,F007,2025-04-20,Subscription,8625.69,EUR
ITX000654,INV0016,F007,2025-08-09,Subscription,10198.11,EUR
ITX000655,INV0092,F006,2025-04-21,Subscription,39180.31,EUR
ITX000656,INV0082,F002,2026-04-07,Subscription,2801.77,EUR
ITX000657,INV0065,F003,2026-05-26,Subscription,29671.15,EUR
ITX000658,INV0071,F007,2026-05-10,Subscription,36942.59,EUR
ITX000659,INV0023,F003,2025-05-12,Redemption,-39163.53,EUR
ITX000660,INV0078,F006,2026-06-01,Subscription,33047.33,EUR
ITX000661,INV0078,F004,2025-10-08,Redemption,-21223.9,EUR
ITX000662,INV0038,F008,2025-05-17,Subscription,17471.51,EUR
ITX000663,INV0096,F005,2026-07-15,Subscription,30324.96,EUR
ITX000664,INV0071,F004,2025-07-25,Redemption,-35737.78,EUR
ITX000665,INV0088,F006,2025-05-16,Subscription,35862.03,EUR
ITX000666,INV0023,F006,2025-04-29,Redemption,-32679.28,EUR
ITX000667,INV0075,F007,2026-07-01,Subscription,28332.87,EUR
ITX000668,INV0002,F002,2025-01-26,Subscription,42441.4,EUR
ITX000669,INV0008,F004,2025-10-01,Subscription,3126.72,EUR
ITX000670,INV0037,F005,2025-05-30,Subscription,8466.3,EUR
ITX000671,INV0038,F004,2026-07-09,Redemption,-34684.45,EUR
ITX000672,INV0014,F004,2026-07-29,Subscription,40794.3,EUR
ITX000673,INV0090,F005,2025-02-18,Subscription,25790.65,EUR
ITX000674,INV0088,F006,2026-07-20,Redemption,-19683.96,EUR
ITX000675,INV0026,F008,2025-08-19,Subscription,37311.66,EUR
ITX000676,INV0083,F006,2026-07-14,Redemption,-35379.14,EUR
ITX000677,INV0093,F004,2025-10-29,Subscription,10225.22,EUR
ITX000678,INV0010,F003,2025-06-27,Subscription,49180.94,EUR
ITX000679,INV0006,F007,2025-10-13,Subscription,6408.01,EUR
ITX000680,INV0075,F005,2025-01-06,Subscription,6938.29,EUR
ITX000681,INV0020,F001,2025-06-07,Subscription,35629.62,EUR
ITX000682,INV0100,F005,2026-05-18,Redemption,-30045.58,EUR
ITX000683,INV0010,F006,2026-06-23,Subscription,27732.93,EUR
ITX000684,INV0009,F003,2026-03-02,Subscription,9601.52,EUR
ITX000685,INV0045,F004,2025-08-07,Subscription,20469.14,EUR
ITX000686,INV0038,F004,2026-06-28,Subscription,16887.79,EUR
ITX000687,INV0097,F001,2025-04-28,Subscription,28286.07,EUR
ITX000688,INV0083,F004,2025-02-10,Subscription,22560.53,EUR
ITX000689,INV0015,F007,2025-09-20,Subscription,16386.38,EUR
ITX000690,INV0067,F006,2026-06-11,Subscription,14500.04,EUR
ITX000691,INV0006,F005,2025-07-17,Subscription,22555.07,EUR
ITX000692,INV0013,F003,2026-07-05,Subscription,4576.1,EUR
ITX000693,INV0027,F004,2026-03-11,Subscription,31533.19,EUR
ITX000694,INV0090,F007,2025-03-15,Redemption,-10676.19,EUR
ITX000695,INV0059,F006,2025-02-08,Subscription,8110.85,EUR
ITX000696,INV0033,F002,2026-08-12,Subscription,3186.27,EUR
ITX000697,INV0053,F007,2026-04-07,Redemption,-45593.84,EUR
ITX000698,INV0003,F007,2025-05-02,Subscription,21934.74,EUR
ITX000699,INV0080,F002,2025-02-16,Subscription,32250.43,EUR
ITX000700,INV0065,F002,2025-10-24,Subscription,4093.18,EUR
ITX000701,INV0012,F005,2026-03-25,Subscription,15416.86,EUR
ITX000702,INV0004,F008,2025-06-10,Subscription,41195.06,EUR
ITX000703,INV0051,F005,2025-05-28,Subscription,7250.88,EUR
ITX000704,INV0094,F006,2025-01-12,Subscription,44405.42,EUR
ITX000705,INV0016,F001,2025-01-06,Subscription,27975.95,EUR
ITX000706,INV0071,F002,2025-11-09,Subscription,20007.04,EUR
ITX000707,INV0093,F006,2025-08-05,Subscription,37200.81,EUR
ITX000708,INV0066,F003,2025-06-14,Subscription,32473.61,EUR
ITX000709,INV0033,F004,2025-04-28,Subscription,31035.8,EUR
ITX000710,INV0007,F008,2026-07-17,Subscription,40083.17,EUR
ITX000711,INV0033,F002,2025-07-22,Subscription,33748.42,EUR
ITX000712,INV0043,F006,2025-05-12,Subscription,24615.93,EUR
ITX000713,INV0037,F002,2025-07-18,Subscription,12109.38,EUR
ITX000714,INV0079,F005,2025-06-06,Subscription,22806.98,EUR
ITX000715,INV0041,F007,2025-06-22,Subscription,18542.43,EUR
ITX000716,INV0029,F007,2025-10-11,Subscription,12685.67,EUR
ITX000717,INV0094,F006,2026-05-07,Redemption,-7148.14,EUR
ITX000718,INV0040,F008,2026-07-19,Subscription,18257.71,EUR
ITX000719,INV0011,F005,2025-05-24,Subscription,32454.8,EUR
ITX000720,INV0094,F002,2025-03-19,Redemption,-10223.38,EUR
ITX000721,INV0081,F001,2026-08-19,Redemption,-42554.57,EUR
ITX000722,INV0028,F001,2026-07-19,Subscription,38575.41,EUR
ITX000723,INV0070,F008,2025-06-02,Subscription,44752.3,EUR
ITX000724,INV0099,F005,2025-05-18,Subscription,11553.68,EUR
ITX000725,INV0051,F006,2026-05-30,Subscription,25765.39,EUR
ITX000726,INV0079,F003,2026-06-11,Subscription,12324.6,EUR
ITX000727,INV0073,F003,2026-05-11,Subscription,8381.51,EUR
ITX000728,INV0098,F008,2025-08-26,Redemption,-2500.78,EUR
ITX000729,INV0006,F004,2026-06-15,Subscription,18787.04,EUR
ITX000730,INV0061,F008,2025-02-17,Redemption,-18381.94,EUR
ITX000731,INV0014,F005,2025-09-27,Subscription,32601.98,EUR
ITX000732,INV0049,F007,2026-01-10,Subscription,28722.93,EUR
ITX000733,INV0010,F005,2026-01-21,Subscription,44962.22,EUR
ITX000734,INV0052,F006,2025-12-20,Redemption,-11533.51,EUR
ITX000735,INV0078,F001,2026-05-29,Subscription,24364.45,EUR
ITX000736,INV0030,F002,2026-06-11,Redemption,-22274.99,EUR
ITX000737,INV0024,F003,2026-01-06,Subscription,10970.1,EUR
ITX000738,INV0085,F004,2026-03-01,Subscription,40939.28,EUR
ITX000739,INV0062,F008,2026-05-06,Subscription,36152.66,EUR
ITX000740,INV0053,F001,2025-09-07,Subscription,8481.69,EUR
ITX000741,INV0021,F003,2026-06-09,Subscription,28887.58,EUR
ITX000742,INV0008,F003,2025-09-22,Subscription,28827.33,EUR
ITX000743,INV0052,F001,2025-10-18,Redemption,-26073.71,EUR
ITX000744,INV0078,F008,2026-05-09,Redemption,-11221.37,EUR
ITX000745,INV0077,F003,2026-08-20,Subscription,41603.0,EUR
ITX000746,INV0085,F005,2025-06-21,Redemption,-9503.27,EUR
ITX000747,INV0059,F002,2025-08-24,Subscription,17462.23,EUR
ITX000748,INV0003,F004,2026-06-20,Subscription,7044.55,EUR
ITX000749,INV0054,F003,2025-04-09,Redemption,-25465.8,EUR
ITX000750,INV0077,F001,2026-06-29,Subscription,45129.61,EUR
ITX000751,INV0062,F003,2026-07-07,Subscription,6317.06,EUR
ITX000752,INV0100,F007,2026-06-19,Redemption,-44899.96,EUR
ITX000753,INV0090,F007,2025-08-23,Subscription,43803.8,EUR
ITX000754,INV0099,F007,2025-12-25,Redemption,-24365.11,EUR
ITX000755,INV0098,F002,2026-03-12,Subscription,37199.01,EUR
ITX000756,INV0030,F002,2025-10-18,Subscription,24118.49,EUR
ITX000757,INV0033,F004,2025-01-06,Subscription,27414.69,EUR
ITX000758,INV0074,F002,2026-06-17,Subscription,39576.41,EUR
ITX000759,INV0089,F006,2026-02-23,Subscription,32900.03,EUR
ITX000760,INV0084,F005,2025-09-25,Subscription,8161.54,EUR
ITX000761,INV0047,F005,2026-02-11,Redemption,-21466.3,EUR
ITX000762,INV0072,F008,2025-07-03,Subscription,20954.79,EUR
ITX000763,INV0033,F005,2026-08-15,Subscription,27968.11,EUR
ITX000764,INV0095,F003,2025-05-02,Subscription,35421.98,EUR
ITX000765,INV0090,F003,2025-04-13,Subscription,22606.45,EUR
ITX000766,INV0044,F001,2025-06-14,Subscription,20327.76,EUR
ITX000767,INV0012,F003,2026-04-28,Subscription,31975.89,EUR
ITX000768,INV0009,F005,2025-08-16,Redemption,-22051.18,EUR
ITX000769,INV0093,F007,2026-02-15,Subscription,30646.93,EUR
ITX000770,INV0092,F001,2025-06-29,Subscription,26289.77,EUR
ITX000771,INV0026,F005,2025-07-19,Subscription,22229.12,EUR
ITX000772,INV0067,F004,2025-06-23,Subscription,30175.99,EUR
ITX000773,INV0084,F001,2025-06-11,Subscription,18307.13,EUR
ITX000774,INV0052,F006,2026-02-09,Subscription,14158.88,EUR
ITX000775,INV0002,F002,2025-04-03,Subscription,10415.36,EUR
ITX000776,INV0072,F006,2025-12-22,Subscription,36443.87,EUR
ITX000777,INV0078,F004,2026-04-11,Redemption,-14187.14,EUR
ITX000778,INV0034,F003,2026-02-21,Redemption,-28957.88,EUR
ITX000779,INV0065,F005,2025-12-15,Subscription,28152.22,EUR
ITX000780,INV0033,F005,2026-03-30,Redemption,-40245.64,EUR
ITX000781,INV0099,F004,2025-12-14,Redemption,-28376.85,EUR
ITX000782,INV0059,F001,2026-05-09,Redemption,-23213.0,EUR
ITX000783,INV0082,F004,2025-08-24,Subscription,3843.94,EUR
ITX000784,INV0046,F001,2025-09-27,Subscription,20915.09,EUR
ITX000785,INV0087,F006,2025-03-19,Subscription,5103.97,EUR
ITX000786,INV0041,F006,2025-08-12,Subscription,9335.04,EUR
ITX000787,INV0096,F004,2026-05-26,Redemption,-13819.25,EUR
ITX000788,INV0031,F005,2025-07-31,Subscription,12125.64,EUR
ITX000789,INV0080,F006,2025-06-09,Subscription,41829.55,EUR
ITX000790,INV0011,F008,2025-01-07,Subscription,6433.99,EUR
ITX000791,INV0006,F008,2026-01-16,Subscription,27302.96,EUR
ITX000792,INV0074,F005,2026-05-18,Subscription,24870.85,EUR
